Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,"Date On List"
GME,202.83,Put,15,2023-01-20,567,1.11,1.43,1.75,1.22,1279,899,1.42,122.52%,-0.006758,2021-07-02
GME,18.55,Put,15,2023-09-08,7,0.28,0.32,0.36,0.34,1035,565,1.83,161.27%,-0.144188,2023-08-31
GME,14.55,Put,15,2023-12-01,0,0.73,0.74,0.75,0.73,6149,3311,1.86,153.54%,-0.63422,2023-11-30
GME,11.75,Put,15,2021-01-15,65,5.15,5.25,5.35,5.26,6070,2934,2.07,155.75%,N/A,2020-11-11
GME,17.65,Put,15,2023-03-24,3,0.23,0.24,0.25,0.25,10705,3417,3.13,187.94%,-0.148683,2023-03-21
GME,19.04,Put,15,2023-01-27,16,0.46,0.48,0.49,0.48,2161,405,5.34,130.66%,-0.155076,2023-01-11
GME,20.69,Put,15,2023-08-18,97,0.77,0.83,0.88,0.84,732,380,1.93,79.96%,-0.154816,2023-05-12
GME,17.25,Put,15,2021-01-08,4,0.2,0.23,0.26,0.26,2699,954,2.83,150.60%,N/A,2021-01-04
GME,17.25,Put,15,2021-01-08,8,0.2,0.23,0.26,0.26,2699,954,2.83,150.60%,N/A,2020-12-31
GME,10.47,Put,15,2022-01-21,448,8.85,9.08,9.3,9.08,557,258,2.16,133.84%,N/A,2020-10-30
GME,15.95,Put,15.5,2023-03-17,2,0.24,0.25,0.26,0.27,1380,962,1.43,94.81%,-0.327781,2023-03-15
GME,18.2,Put,15.5,2022-12-30,3,0.11,0.12,0.13,0.12,947,445,2.13,145.80%,-0.099655,2022-12-27
GME,15.55,Put,15.5,2023-12-15,6,0.73,0.74,0.75,0.73,914,596,1.53,94.59%,-0.466696,2023-12-08
GME,15.39,Put,15.5,2023-10-06,3,0.48,0.52,0.56,0.54,2108,1068,1.97,86.05%,-0.522165,2023-10-02
GME,19.26,Put,15.5,2021-01-08,9,0.15,0.21,0.27,0.21,1380,965,1.43,121.86%,N/A,2020-12-30
GME,19.38,Put,15.5,2021-01-08,10,0.24,0.33,0.43,0.34,652,519,1.26,137.85%,N/A,2020-12-29
GME,16.78,Put,15.5,2023-10-06,9,0.14,0.15,0.16,0.13,628,134,4.69,56.89%,-0.177419,2023-09-26
GME,18.75,Put,15.5,2023-09-08,1,0.21,0.22,0.24,0.22,1188,549,2.16,339.72%,-0.12317,2023-09-06
GME,14.91,Put,15.5,2023-12-08,2,1.76,1.78,1.79,1.77,1338,638,2.1,324.80%,-0.516567,2023-12-05
GME,17.44,Put,15.5,2023-12-22,7,0.15,0.16,0.17,0.17,598,228,2.62,86.47%,-0.148954,2023-12-14
